name,num,star,sug1,sug2,sug3
新白鹿餐厅(悠迈生活广场店),101915466,准五星商户,蛋黄鸡翅,冰淇淋烤布雷,糖醋排骨
圆苑(金茂时尚生活中心店),77563221,准五星商户,招牌红烧肉,糯米红枣,圆苑明炉烤鸭
涵苑,91050993,五星商户,醉膏蟹,响油野生鳝丝,黄鱼馄饨汤
甬府小鲜(陆家嘴中心店),123076786,准五星商户,手工宁波汤圆,白蟹酱炒年糕,喷香芋艿羹
肥猫餐厅(青浦万达店),131563002,准五星商户,连骨头都不剩的鸡爪,外婆红烧肉,酱鸭
春在上海(长宁来福士店),130619332,准五星商户,黑豚肉蒸蟹,龙虾麻婆豆腐,白灼猪肝
一得仙宁波海鲜(滨江世茂店),121943876,五星商户,醉膏蟹,野生梅子鱼,椰汁小白兔
雲和面馆YUNHENOODLE(华山路店),97282572,准五星商户,蟹粉拌面,三虾面,黄鱼煨面
HOME'S飨宴,121531060,五星商户,鱼子酱酸奶,HOMES目鱼红烧肉,鸡油花雕蒸膏蟹
东方融宴,112061816,五星商户,精品烤鸭,鲍鱼红烧肉,脆皮乳鸽
桥水人家,92459852,准五星商户,土鸡蛋,特色白斩鸡,野生河鳗
圆苑(梅龙镇广场店),503509,四星商户,招牌红烧肉,红烧肉加蛋,糯米红枣
道道鲜崇明私房菜(周家嘴路店),5317514,准五星商户,崇明糕,白菜粉丝蛋饺,金瓜丝
金时代顺风新弘府,66246935,五星商户,干煎带鱼,烤乳鸽,葱油红膏蟹
德燊酒家,121936489,五星商户,蟹粉豆腐,现划响油鳝,口水鸡
和记小菜(控江店),98354272,准五星商户,招牌红烧肉,清炒河虾仁,招牌生煎包
上海小南国(张江店),17222108,四星商户,外婆红烧肉,老上海蟹粉豆腐,野生河虾仁
南京大牌档(中山公园龙之梦店),24338223,准五星商户,民国美龄粥,天王烤鸭包,招牌盐水鸭
客缘民间菜(兴梅路店),98747916,五星商户,八珍烤鸭,腌笃鲜小馄饨,黄山臭鳜鱼
上海滩餐厅(虹桥天地店),32338381,五星商户,文火焖小牛肉,精品烤鸭,乌金流沙包
桂满陇-西湖船宴(近铁城市广场店),27333622,准五星商户,吮指鸡爪,东坡肉,西湖酥醋鱼
70后饭吧(松江店),19642224,四星商户,上酱肥牛配土豆泥,千叶豆腐煲,糖醋里脊
游宴一品淮扬,67122945,准五星商户,狮子头,江南砂锅神仙鸡,扬州干丝
金时代顺风大酒店(818广场店),113962058,五星商户,顺风乳鸽,本帮红烧肉,臭豆腐
食庐(虹桥南丰城店),22179722,准五星商户,菜包狮子头（经典招牌）,牛油果龙虾沙律,淮扬软兜（经典招牌）
南京大牌档(联洋广场店),97993512,准五星商户,招牌盐水鸭,老牌阳春面,天王烤鸭包
东城故事·寻找姆妈的味道,23893627,四星商户,生煎包,山药骨髓肉,松子桂鱼
十二弄海派创意江南菜,113104730,准五星商户,脆皮原味手撕鸽,橙香牛肉粒,果香黑醋黄鱼卷
夫人花园·千岛湖鱼头馆(银亿滨江店),126290439,五星商户,招牌千岛湖鱼头汤,夫人花园千岛湖鱼头,千岛湖豆腐皮
