name,num,star,sug1,sug2,sug3,tuangou
YK烧肉居酒屋(美罗城店),97957320,准五星商户,欧姆蛋广岛烧,极上三种烧肉拼盘,自家制坚果牛轧糖冰淇淋,
万岛日本料理铁板烧(锦江店),17190498,准五星商户,刺身拼盘,牡丹虾,生海胆,
世香全厨·铁板烧(红星美凯龙1号店),19437333,五星商户,菲力牛排,法式小羊排,法式鹅肝,
阿吾罗·月咏精致日料(港汇恒隆广场店),113888298,五星商户,黑椒香煎厚牛舌,三文鱼逸品刺身,铁板鹅肝,
濱寿司(文峰广场店),130472019,五星商户,鹅肝寿司,三文鱼寿司,三文鱼,
满来寿喜烧(金虹桥店),19595075,五星商户,寿喜锅M6 1人前,鹅肝炒饭,温泉蛋土豆球,
橘焱胡同烧肉夜食(BFC外滩金融中心店),17159209,五星商户,蟹膏干贝,墨鱼香肠,沃金牛舌,
舞渔日本料理(兴业太古汇店),131414638,五星商户,3A牛小排胶原锅,炙烧海胆鹅肝握,厚烧牛舌,
日矢 HIYA,113899367,准五星商户,腌制金枪鱼手卷,和牛盖饭,刺身拼盘,
植藤(铜仁路店),21403307,五星商户,鳗鱼土锅饭,琉球鹅肝,生鱼片,
初花,2032762,准五星商户,海胆刺身,烤银鳕鱼,三文鱼,
柚子林炭火烧肉(嘉瑞店),2087128,五星商户,厚切牛舌,大吟酿牛肩肉,柚子林特色色拉,
鱻一自慢料理,123295804,五星商户,和牛火锅,明太子山药,虾膏牡丹虾,
大志和牛寿喜烧专门店(浦东店),121508500,五星商户,和牛寿喜锅,杏仁豆腐,乌冬面,
Ginza Onodera 鮨(外滩十八号店),23495846,五星商户,马粪海胆,和牛海胆鱼子酱寿司,金枪鱼寿司,
井福Ifuku,66396291,准五星商户,炭烤鸡肉一夜干,炭烤牛舌,牛肠,
鮨谷Aburiya·日料铁板烧(合生汇店),45829706,准五星商户,厚烧牛舌,鹅肝寿司,三文鱼刺身,
八彩慕光日本料理,106351924,准五星商户,秘制牛舌,刺身拼盘,八彩趣味寿司饭,
夢間心ゆめまごころ深夜食堂(思南路店)(思南路店),104870409,五星商户,寿喜锅,鹅肝寿司,刺身拼盘,
橘焱胡同烧肉夜食(芮欧店),90891640,五星商户,墨鱼香肠,和牛烤肉酱牛小排,沃金牛舌,
鱼市新馆,129634190,五星商户,鱼市新馆环球航母刺身拼盘,鳌虾,鱼市金牌花胶鸡锅（浓汤锅底）,
末那寿司(玫瑰坊店),11557516,五星商户,三文鱼刺身,鹅肝握寿司,摩托罗拉卷,
吾妻家,127903144,四星商户,刺身,炸猪排,日式滑蛋猪排饭套餐,
鮨心和,97405324,五星商户,和牛配黑松露,蓝鳍金枪大腹配苏联鲟鱼籽,生蚝,
王鼎精致料理(世茂商都店),4078315,准五星商户,铁板鹅肝,芝士炸三文鱼排,鲜活海胆,
